pos,Squad,Pts,PJ,PG,PE,PP,GF,GC,Diff,Temporada
1,River Plate,75,38,22,9,7,78,30,48,2021
2,Vélez Sarsfield,70,38,20,10,8,57,34,23,2021
3,Talleres,66,38,19,9,10,57,44,13,2021
4,Colón,64,38,18,10,10,49,41,8,2021
5,Boca Juniors,63,38,17,12,9,57,31,26,2021
6,Estudiantes–LP,61,38,16,13,9,59,41,18,2021
7,Defensa y Just,59,38,16,11,11,58,45,13,2021
8,Independiente,58,38,16,10,12,43,34,9,2021
9,Lanús,56,38,16,8,14,62,61,1,2021
10,Racing Club,53,38,14,11,13,38,35,3,2021
11,Unión,53,38,14,11,13,44,46,-2,2021
12,Arg Juniors,51,38,13,12,13,40,36,4,2021
13,Huracán,51,38,12,15,11,42,42,0,2021
14,Gimnasia–LP,51,38,12,15,11,42,48,-6,2021
15,Rosario Central,50,38,14,8,16,55,59,-4,2021
16,San Lorenzo,48,38,13,9,16,39,49,-10,2021
17,Banfield,47,38,10,17,11,34,37,-3,2021
18,Godoy Cruz,46,38,12,10,16,53,57,-4,2021
19,Platense,45,38,11,12,15,48,55,-7,2021
20,Aldosivi,44,38,13,5,20,44,60,-16,2021
21,Cen. Córdoba–SdE,43,38,10,13,15,44,53,-9,2021
22,Atlé Tucumán,40,38,10,10,18,46,66,-20,2021
23,Newell's OB,39,38,9,12,17,38,53,-15,2021
24,Patronato,37,38,9,10,19,35,52,-17,2021
25,Sarmiento,36,38,8,12,18,33,52,-19,2021
26,Arsenal,33,38,7,12,19,23,57,-34,2021
1,Racing Club,80,41,22,14,5,66,34,32,2022
2,Boca Juniors,79,41,23,10,8,53,39,14,2022
3,River Plate,76,41,23,7,11,74,34,40,2022
4,Arg Juniors,67,41,19,10,12,54,40,14,2022
5,Huracán,65,41,17,14,10,52,40,12,2022
6,Gimnasia–LP,65,41,18,11,12,50,38,12,2022
7,Defensa y Just,65,41,17,14,10,55,46,9,2022
8,Tigre,63,41,16,15,10,58,44,14,2022
9,Newell's OB,63,41,18,9,14,43,37,6,2022
10,Estudiantes–LP,61,41,17,10,14,61,60,1,2022
11,San Lorenzo,58,41,13,19,9,48,40,8,2022
12,Atlé Tucumán,57,41,14,15,12,45,45,0,2022
13,Sarmiento,53,41,14,11,16,44,56,-12,2022
14,Barracas Central,53,41,14,11,16,48,61,-13,2022
15,Independiente,51,41,12,15,14,48,49,-1,2022
16,Godoy Cruz,51,41,12,15,14,46,53,-7,2022
17,Patronato,50,41,14,8,19,41,52,-11,2022
18,Banfield,49,41,12,13,16,41,44,-3,2022
19,Cen. Córdoba–SdE,49,41,13,10,18,51,60,-9,2022
20,Unión,49,41,13,10,18,39,49,-10,2022
21,Arsenal,47,41,9,20,12,48,48,0,2022
22,Vélez Sarsfield,46,41,10,16,15,43,45,-2,2022
23,Rosario Central,46,41,11,13,17,40,48,-8,2022
24,Talleres,46,41,12,10,19,37,47,-10,2022
25,Colón,45,41,10,15,16,42,55,-13,2022
26,Platense,42,41,9,15,17,35,48,-13,2022
27,Lanús,36,41,8,12,21,39,59,-20,2022
28,Aldosivi,36,41,10,6,25,33,64,-31,2022
1,River Plate,85,41,26,7,8,74,36,38,2023
2,Talleres,67,41,18,13,10,57,38,19,2023
3,Rosario Central,65,41,16,17,8,53,42,11,2023
4,San Lorenzo,64,41,15,19,7,34,24,10,2023
5,Godoy Cruz,63,41,16,15,10,51,41,10,2023
6,Boca Juniors,62,41,18,8,15,50,40,10,2023
7,Estudiantes–LP,62,41,16,14,11,46,37,9,2023
8,Racing Club,60,41,15,15,11,58,51,7,2023
9,Defensa y Just,58,41,15,13,13,48,39,9,2023
10,Lanús,57,41,14,15,12,47,41,6,2023
11,Belgrano,57,41,15,12,14,40,44,-4,2023
12,Arg Juniors,54,41,14,12,15,50,45,5,2023
13,Atlé Tucumán,54,41,13,15,13,34,39,-5,2023
14,Platense,54,41,14,12,15,39,45,-6,2023
15,Newell's OB,53,41,13,14,14,38,34,4,2023
16,Banfield,53,41,13,14,14,32,38,-6,2023
17,Instituto,52,41,12,16,13,35,42,-7,2023
18,Huracán,51,41,14,9,18,37,40,-3,2023
19,Independiente,51,41,12,15,14,38,43,-5,2023
20,Vélez Sarsfield,49,41,11,16,14,41,41,0,2023
21,Barracas Central,49,41,11,16,14,35,51,-16,2023
22,Cen. Córdoba–SdE,48,41,12,12,17,31,44,-13,2023
23,Tigre,47,41,12,11,18,35,42,-7,2023
24,Sarmiento,46,41,10,16,15,31,34,-3,2023
25,Unión,46,41,9,19,13,29,38,-9,2023
26,Gimnasia–LP,45,41,11,12,18,37,59,-22,2023
27,Colón,45,41,10,15,16,39,50,-11,2023
28,Arsenal,35,41,9,8,24,28,49,-21,2023
1,Vélez Sarsfield,76,41,21,13,7,52,29,23,2024
2,Talleres,72,41,19,15,7,58,43,15,2024
3,River Plate,70,41,18,16,7,64,31,33,2024
4,Racing Club,70,41,21,7,13,66,41,25,2024
5,Boca Juniors,67,41,18,13,10,50,35,15,2024
6,Godoy Cruz,64,41,17,13,11,47,34,13,2024
7,Estudiantes–LP,63,41,16,15,10,55,43,12,2024
8,Independiente,63,41,15,18,8,39,27,12,2024
9,Huracán,62,41,16,14,11,40,30,10,2024
10,Unión,60,41,16,12,13,43,40,3,2024
11,Lanús,59,41,15,14,12,48,45,3,2024
12,Defensa y Just,58,41,14,16,11,44,46,-2,2024
13,Platense,57,41,14,15,12,30,32,-2,2024
14,Arg Juniors,56,41,15,11,15,47,42,5,2024
15,Instituto,53,41,15,8,18,50,48,2,2024
16,Atlé Tucumán,50,41,12,14,15,36,50,-14,2024
17,Belgrano,49,41,11,16,14,52,53,-1,2024
18,Barracas Central,49,41,11,16,14,35,48,-13,2024
19,Newell's OB,49,41,13,10,18,35,50,-15,2024
20,Gimnasia–LP,48,41,13,9,19,39,46,-7,2024
21,Deportivo Riestra,48,41,11,15,15,34,43,-9,2024
22,Rosario Central,47,41,12,11,18,37,48,-11,2024
23,Ind. Rivadavia,46,41,12,10,19,36,50,-14,2024
24,San Lorenzo,45,41,10,15,16,30,40,-10,2024
25,Cen. Córdoba–SdE,42,41,10,12,19,39,56,-17,2024
26,Banfield,41,41,9,14,18,36,51,-15,2024
27,Tigre,39,41,9,12,20,34,55,-21,2024
28,Sarmiento,35,41,7,14,20,27,47,-20,2024
