Squad,# Pl,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,League,Season
Aldosivi,29,25.0,,298,,,,,,,,,,,286,,,,Primera Division Argentina,2021
Arg Juniors,31,25.0,,235,,,,,,,,,,,295,,,,Primera Division Argentina,2021
Arsenal,35,25.0,,264,,,,,,,,,,,279,,,,Primera Division Argentina,2021
Atlé Tucumán,29,25.0,,270,,,,,,,,,,,309,,,,Primera Division Argentina,2021
Banfield,28,25.0,,242,,,,,,,,,,,331,,,,Primera Division Argentina,2021
Boca Juniors,45,25.0,,293,,,,,,,,,,,316,,,,Primera Division Argentina,2021
Cen. Córdoba–SdE,29,25.0,,259,,,,,,,,,,,299,,,,Primera Division Argentina,2021
Colón,23,25.0,,257,,,,,,,,,,,300,,,,Primera Division Argentina,2021
Defensa y Just,23,25.0,,269,,,,,,,,,,,328,,,,Primera Division Argentina,2021
Estudiantes–LP,27,25.0,,244,,,,,,,,,,,287,,,,Primera Division Argentina,2021
Gimnasia–LP,30,25.0,,311,,,,,,,,,,,370,,,,Primera Division Argentina,2021
Godoy Cruz,29,25.0,,270,,,,,,,,,,,274,,,,Primera Division Argentina,2021
Huracán,29,25.0,,301,,,,,,,,,,,279,,,,Primera Division Argentina,2021
Independiente,30,25.0,,255,,,,,,,,,,,283,,,,Primera Division Argentina,2021
Lanús,27,25.0,,283,,,,,,,,,,,249,,,,Primera Division Argentina,2021
Newell's OB,36,25.0,,292,,,,,,,,,,,331,,,,Primera Division Argentina,2021
Patronato,29,25.0,,285,,,,,,,,,,,335,,,,Primera Division Argentina,2021
Platense,32,25.0,,263,,,,,,,,,,,331,,,,Primera Division Argentina,2021
Racing Club,29,25.0,,289,,,,,,,,,,,281,,,,Primera Division Argentina,2021
River Plate,30,25.0,,255,,,,,,,,,,,270,,,,Primera Division Argentina,2021
Rosario Central,33,25.0,,272,,,,,,,,,,,265,,,,Primera Division Argentina,2021
San Lorenzo,31,25.0,,240,,,,,,,,,,,263,,,,Primera Division Argentina,2021
Sarmiento,31,25.0,,282,,,,,,,,,,,266,,,,Primera Division Argentina,2021
Talleres,25,25.0,,288,,,,,,,,,,,250,,,,Primera Division Argentina,2021
Unión,27,25.0,,254,,,,,,,,,,,324,,,,Primera Division Argentina,2021
Vélez Sarsfield,29,25.0,,274,,,,,,,,,,,256,,,,Primera Division Argentina,2021
Aldosivi,40,27.0,,325,,,,,,,,,,,262,,,,Primera Division Argentina,2022
Arg Juniors,28,27.0,,272,,,,,,,,,,,289,,,,Primera Division Argentina,2022
