Squad,# Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att(GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,GoalKicks_Att,GoalKicks_Launch%,GoalKicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,League,Season
Aldosivi,1,25.0,39,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Arg Juniors,2,25.0,25,3,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Arsenal,2,25.0,34,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Atlé Tucumán,1,25.0,46,3,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Banfield,2,25.0,25,3,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Boca Juniors,3,25.0,19,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Cen. Córdoba–SdE,3,25.0,36,1,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Colón,2,25.0,31,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Defensa y Just,1,25.0,24,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Estudiantes–LP,1,25.0,31,4,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Gimnasia–LP,2,25.0,28,1,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Godoy Cruz,2,25.0,33,4,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Huracán,1,25.0,25,3,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Independiente,1,25.0,24,1,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Lanús,2,25.0,43,7,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Newell's OB,2,25.0,32,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Patronato,2,25.0,35,1,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Platense,2,25.0,36,1,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Racing Club,2,25.0,23,0,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
River Plate,2,25.0,19,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Rosario Central,2,25.0,41,0,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
San Lorenzo,1,25.0,33,0,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
