Squad,# Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,League,Season
Aldosivi,29,25.0,65,4,0,346,324,53,405,286,298,4.0,7.0,0,Primera Division Argentina,2021
Arg Juniors,31,25.0,62,3,1,338,352,54,570,295,235,4.0,3.0,1,Primera Division Argentina,2021
Arsenal,35,25.0,50,2,1,320,316,46,484,279,264,1.0,2.0,1,Primera Division Argentina,2021
Atlé Tucumán,29,25.0,63,4,2,369,280,61,500,309,270,0.0,4.0,0,Primera Division Argentina,2021
Banfield,28,25.0,61,3,2,369,309,59,607,331,242,0.0,4.0,3,Primera Division Argentina,2021
Boca Juniors,45,25.0,39,3,2,310,337,39,519,316,293,2.0,2.0,1,Primera Division Argentina,2021
Cen. Córdoba–SdE,29,25.0,54,3,1,352,252,47,490,299,259,1.0,2.0,1,Primera Division Argentina,2021
Colón,23,25.0,48,7,1,326,363,58,406,300,257,0.0,5.0,2,Primera Division Argentina,2021
Defensa y Just,23,25.0,44,1,1,276,304,55,380,328,269,1.0,2.0,1,Primera Division Argentina,2021
Estudiantes–LP,27,25.0,57,0,0,361,338,37,486,287,244,3.0,5.0,2,Primera Division Argentina,2021
Gimnasia–LP,30,25.0,50,4,2,323,434,58,371,370,311,6.0,2.0,1,Primera Division Argentina,2021
Godoy Cruz,29,25.0,50,2,1,352,289,49,498,274,270,1.0,5.0,2,Primera Division Argentina,2021
Huracán,29,25.0,67,2,0,316,370,48,615,279,301,1.0,3.0,0,Primera Division Argentina,2021
Independiente,30,25.0,59,5,3,285,371,44,404,283,255,1.0,1.0,1,Primera Division Argentina,2021
Lanús,27,25.0,66,1,1,373,336,52,552,249,283,2.0,7.0,1,Primera Division Argentina,2021
Newell's OB,36,25.0,57,5,3,366,346,43,440,331,292,2.0,2.0,1,Primera Division Argentina,2021
Patronato,29,25.0,60,3,1,406,247,30,443,335,285,3.0,3.0,0,Primera Division Argentina,2021
Platense,32,25.0,39,2,0,322,310,51,444,331,263,2.0,1.0,0,Primera Division Argentina,2021
Racing Club,29,25.0,55,1,0,332,337,45,523,281,289,3.0,2.0,0,Primera Division Argentina,2021
River Plate,30,25.0,53,1,0,377,293,60,469,270,255,1.0,2.0,0,Primera Division Argentina,2021
Rosario Central,33,25.0,68,5,4,369,306,41,599,265,272,0.0,0.0,1,Primera Division Argentina,2021
San Lorenzo,31,25.0,77,11,5,398,315,42,453,263,240,3.0,1.0,1,Primera Division Argentina,2021
Sarmiento,31,25.0,53,1,1,351,291,34,502,266,282,2.0,0.0,0,Primera Division Argentina,2021
Talleres,25,25.0,75,2,2,384,290,53,404,250,288,2.0,4.0,1,Primera Division Argentina,2021
Unión,27,25.0,49,4,2,331,343,41,552,324,254,2.0,1.0,1,Primera Division Argentina,2021
Vélez Sarsfield,29,25.0,56,2,1,317,351,37,494,256,274,1.0,5.0,1,Primera Division Argentina,2021
Aldosivi,40,27.0,71,7,3,356,296,46,429,262,325,0.0,5.0,3,Primera Division Argentina,2022
Arg Juniors,28,27.0,56,1,1,321,317,37,509,289,272,3.0,3.0,1,Primera Division Argentina,2022
Arsenal,27,27.0,57,1,0,316,273,42,498,327,338,2.0,5.0,2,Primera Division Argentina,2022
Atlé Tucumán,30,27.3,80,4,4,320,306,40,485,307,325,4.0,1.0,0,Primera Division Argentina,2022
Banfield,34,27.0,71,4,3,348,287,28,572,359,364,5.0,5.0,1,Primera Division Argentina,2022
Barracas Central,27,27.0,58,1,1,312,339,32,482,297,305,6.0,3.0,1,Primera Division Argentina,2022
Boca Juniors,36,27.0,93,3,1,337,359,28,491,251,298,4.0,8.0,1,Primera Division Argentina,2022
Cen. Córdoba–SdE,33,27.0,63,5,1,286,261,44,430,288,320,4.0,10.0,1,Primera Division Argentina,2022
Colón,38,27.0,56,5,1,305,270,61,467,308,310,5.0,3.0,2,Primera Division Argentina,2022
Defensa y Just,32,27.0,59,6,3,292,283,39,486,318,349,2.0,5.0,0,Primera Division Argentina,2022
Estudiantes–LP,35,27.0,62,1,1,315,330,33,578,296,290,2.0,6.0,0,Primera Division Argentina,2022
Gimnasia–LP,29,27.0,64,2,0,316,352,31,523,300,328,1.0,1.0,1,Primera Division Argentina,2022
Godoy Cruz,32,27.0,67,6,6,291,274,31,578,288,312,1.0,10.0,1,Primera Division Argentina,2022
Huracán,31,27.0,75,3,3,316,322,41,586,340,342,6.0,3.0,2,Primera Division Argentina,2022
Independiente,32,27.3,70,1,0,344,275,49,550,247,292,2.0,2.0,1,Primera Division Argentina,2022
Lanús,37,27.0,77,8,2,328,347,44,514,310,330,1.0,5.0,1,Primera Division Argentina,2022
Newell's OB,32,27.0,70,5,1,367,313,37,478,285,316,0.0,5.0,0,Primera Division Argentina,2022
Patronato,30,27.0,76,8,4,437,255,50,508,323,295,4.0,5.0,2,Primera Division Argentina,2022
Platense,30,27.0,73,6,3,353,336,36,498,335,332,2.0,2.0,2,Primera Division Argentina,2022
Racing Club,33,27.0,69,7,1,316,345,50,542,253,344,2.0,4.0,0,Primera Division Argentina,2022
River Plate,28,27.0,73,5,2,330,342,35,595,304,323,0.0,6.0,0,Primera Division Argentina,2022
Rosario Central,33,27.0,74,3,1,340,302,40,671,252,351,3.0,3.0,1,Primera Division Argentina,2022
San Lorenzo,31,27.0,65,2,1,347,312,36,510,284,337,7.0,0.0,0,Primera Division Argentina,2022
Sarmiento,26,27.0,79,3,2,331,291,35,449,305,297,5.0,6.0,1,Primera Division Argentina,2022
Talleres,31,27.0,70,5,3,318,312,44,509,250,302,2.0,9.0,0,Primera Division Argentina,2022
Tigre,26,27.0,56,5,2,269,311,28,507,326,320,3.0,3.0,1,Primera Division Argentina,2022
Unión,26,27.0,73,3,0,328,317,31,653,300,328,3.0,5.0,0,Primera Division Argentina,2022
Vélez Sarsfield,33,27.0,84,6,2,368,289,36,544,296,345,3.0,4.0,0,Primera Division Argentina,2022
Arg Juniors,26,27.0,64,6,2,340,363,54,603,225,306,6.0,6.0,0,Primera Division Argentina,2023
Arsenal,27,27.0,68,3,1,344,261,46,486,254,309,2.0,5.0,1,Primera Division Argentina,2023
Atlé Tucumán,26,27.0,70,4,1,342,275,45,424,239,326,3.0,4.0,1,Primera Division Argentina,2023
Banfield,28,27.0,73,6,3,331,377,51,589,276,370,5.0,3.0,1,Primera Division Argentina,2023
Barracas Central,30,27.0,44,3,2,309,370,28,483,279,316,4.0,2.0,1,Primera Division Argentina,2023
Belgrano,32,27.0,50,6,2,294,300,38,585,246,297,2.0,4.0,1,Primera Division Argentina,2023
Boca Juniors,32,27.0,73,9,1,321,406,29,512,217,307,0.0,6.0,2,Primera Division Argentina,2023
Cen. Córdoba–SdE,26,27.0,51,1,1,264,243,59,565,266,314,1.0,3.0,1,Primera Division Argentina,2023
Colón,28,27.0,66,3,2,352,284,53,464,274,323,4.0,6.0,1,Primera Division Argentina,2023
Defensa y Just,34,27.0,70,6,2,321,257,60,456,266,289,3.0,1.0,0,Primera Division Argentina,2023
Estudiantes–LP,29,27.0,56,0,0,325,336,35,544,233,308,1.0,5.0,1,Primera Division Argentina,2023
Gimnasia–LP,35,27.0,61,3,0,310,344,46,549,276,362,1.0,3.0,1,Primera Division Argentina,2023
Godoy Cruz,28,27.0,72,5,0,357,258,43,473,280,307,0.0,7.0,1,Primera Division Argentina,2023
Huracán,30,27.0,64,7,2,367,304,36,607,299,327,2.0,3.0,1,Primera Division Argentina,2023
Independiente,30,27.0,75,8,4,389,326,40,513,287,357,3.0,6.0,1,Primera Division Argentina,2023
Instituto,27,27.0,68,3,2,326,245,27,580,234,318,2.0,5.0,1,Primera Division Argentina,2023
Lanús,30,27.0,74,9,7,347,335,52,501,261,297,6.0,2.0,1,Primera Division Argentina,2023
