Squad,# Pl,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,League,Season
Aldosivi,29,25.0,,,,,,,,,,,,,,,19,,,,,,Primera Division Argentina,2021
Arg Juniors,31,25.0,,,,,,,,,,,,,,,15,,,,,,Primera Division Argentina,2021
Arsenal,35,25.0,,,,,,,,,,,,,,,9,,,,,,Primera Division Argentina,2021
Atlé Tucumán,29,25.0,,,,,,,,,,,,,,,13,,,,,,Primera Division Argentina,2021
Banfield,28,25.0,,,,,,,,,,,,,,,13,,,,,,Primera Division Argentina,2021
Boca Juniors,45,25.0,,,,,,,,,,,,,,,24,,,,,,Primera Division Argentina,2021
Cen. Córdoba–SdE,29,25.0,,,,,,,,,,,,,,,21,,,,,,Primera Division Argentina,2021
Colón,23,25.0,,,,,,,,,,,,,,,13,,,,,,Primera Division Argentina,2021
Defensa y Just,23,25.0,,,,,,,,,,,,,,,36,,,,,,Primera Division Argentina,2021
Estudiantes–LP,27,25.0,,,,,,,,,,,,,,,24,,,,,,Primera Division Argentina,2021
Gimnasia–LP,30,25.0,,,,,,,,,,,,,,,14,,,,,,Primera Division Argentina,2021
Godoy Cruz,29,25.0,,,,,,,,,,,,,,,29,,,,,,Primera Division Argentina,2021
Huracán,29,25.0,,,,,,,,,,,,,,,19,,,,,,Primera Division Argentina,2021
Independiente,30,25.0,,,,,,,,,,,,,,,20,,,,,,Primera Division Argentina,2021
Lanús,27,25.0,,,,,,,,,,,,,,,32,,,,,,Primera Division Argentina,2021
Newell's OB,36,25.0,,,,,,,,,,,,,,,16,,,,,,Primera Division Argentina,2021
Patronato,29,25.0,,,,,,,,,,,,,,,16,,,,,,Primera Division Argentina,2021
Platense,32,25.0,,,,,,,,,,,,,,,22,,,,,,Primera Division Argentina,2021
Racing Club,29,25.0,,,,,,,,,,,,,,,14,,,,,,Primera Division Argentina,2021
River Plate,30,25.0,,,,,,,,,,,,,,,39,,,,,,Primera Division Argentina,2021
Rosario Central,33,25.0,,,,,,,,,,,,,,,32,,,,,,Primera Division Argentina,2021
San Lorenzo,31,25.0,,,,,,,,,,,,,,,10,,,,,,Primera Division Argentina,2021
Sarmiento,31,25.0,,,,,,,,,,,,,,,18,,,,,,Primera Division Argentina,2021
Talleres,25,25.0,,,,,,,,,,,,,,,28,,,,,,Primera Division Argentina,2021
Unión,27,25.0,,,,,,,,,,,,,,,24,,,,,,Primera Division Argentina,2021
Vélez Sarsfield,29,25.0,,,,,,,,,,,,,,,26,,,,,,Primera Division Argentina,2021
Aldosivi,40,27.0,,,,,,,,,,,,,,,8,,,,,,Primera Division Argentina,2022
Arg Juniors,28,27.0,,,,,,,,,,,,,,,23,,,,,,Primera Division Argentina,2022
Arsenal,27,27.0,,,,,,,,,,,,,,,16,,,,,,Primera Division Argentina,2022
Atlé Tucumán,30,27.3,,,,,,,,,,,,,,,22,,,,,,Primera Division Argentina,2022
Banfield,34,27.0,,,,,,,,,,,,,,,10,,,,,,Primera Division Argentina,2022
Barracas Central,27,27.0,,,,,,,,,,,,,,,17,,,,,,Primera Division Argentina,2022
Boca Juniors,36,27.0,,,,,,,,,,,,,,,23,,,,,,Primera Division Argentina,2022
Cen. Córdoba–SdE,33,27.0,,,,,,,,,,,,,,,22,,,,,,Primera Division Argentina,2022
Colón,38,27.0,,,,,,,,,,,,,,,10,,,,,,Primera Division Argentina,2022
Defensa y Just,32,27.0,,,,,,,,,,,,,,,21,,,,,,Primera Division Argentina,2022
Estudiantes–LP,35,27.0,,,,,,,,,,,,,,,21,,,,,,Primera Division Argentina,2022
Gimnasia–LP,29,27.0,,,,,,,,,,,,,,,14,,,,,,Primera Division Argentina,2022
Godoy Cruz,32,27.0,,,,,,,,,,,,,,,20,,,,,,Primera Division Argentina,2022
Huracán,31,27.0,,,,,,,,,,,,,,,17,,,,,,Primera Division Argentina,2022
Independiente,32,27.3,,,,,,,,,,,,,,,24,,,,,,Primera Division Argentina,2022
Lanús,37,27.0,,,,,,,,,,,,,,,12,,,,,,Primera Division Argentina,2022
Newell's OB,32,27.0,,,,,,,,,,,,,,,16,,,,,,Primera Division Argentina,2022
Patronato,30,27.0,,,,,,,,,,,,,,,23,,,,,,Primera Division Argentina,2022
Platense,30,27.0,,,,,,,,,,,,,,,12,,,,,,Primera Division Argentina,2022
Racing Club,33,27.0,,,,,,,,,,,,,,,30,,,,,,Primera Division Argentina,2022
River Plate,28,27.0,,,,,,,,,,,,,,,31,,,,,,Primera Division Argentina,2022
Rosario Central,33,27.0,,,,,,,,,,,,,,,16,,,,,,Primera Division Argentina,2022
San Lorenzo,31,27.0,,,,,,,,,,,,,,,23,,,,,,Primera Division Argentina,2022
Sarmiento,26,27.0,,,,,,,,,,,,,,,13,,,,,,Primera Division Argentina,2022
Talleres,31,27.0,,,,,,,,,,,,,,,19,,,,,,Primera Division Argentina,2022
Tigre,26,27.0,,,,,,,,,,,,,,,21,,,,,,Primera Division Argentina,2022
Unión,26,27.0,,,,,,,,,,,,,,,20,,,,,,Primera Division Argentina,2022
Vélez Sarsfield,33,27.0,,,,,,,,,,,,,,,17,,,,,,Primera Division Argentina,2022
Arg Juniors,26,27.0,,,,,,,,,,,,,,,18,,,,,,Primera Division Argentina,2023
Arsenal,27,27.0,,,,,,,,,,,,,,,14,,,,,,Primera Division Argentina,2023
Atlé Tucumán,26,27.0,,,,,,,,,,,,,,,17,,,,,,Primera Division Argentina,2023
Banfield,28,27.0,,,,,,,,,,,,,,,10,,,,,,Primera Division Argentina,2023
Barracas Central,30,27.0,,,,,,,,,,,,,,,15,,,,,,Primera Division Argentina,2023
Belgrano,32,27.0,,,,,,,,,,,,,,,15,,,,,,Primera Division Argentina,2023
Boca Juniors,32,27.0,,,,,,,,,,,,,,,25,,,,,,Primera Division Argentina,2023
Cen. Córdoba–SdE,26,27.0,,,,,,,,,,,,,,,15,,,,,,Primera Division Argentina,2023
Colón,28,27.0,,,,,,,,,,,,,,,16,,,,,,Primera Division Argentina,2023
Defensa y Just,34,27.0,,,,,,,,,,,,,,,23,,,,,,Primera Division Argentina,2023
Estudiantes–LP,29,27.0,,,,,,,,,,,,,,,26,,,,,,Primera Division Argentina,2023
Gimnasia–LP,35,27.0,,,,,,,,,,,,,,,13,,,,,,Primera Division Argentina,2023
Godoy Cruz,28,27.0,,,,,,,,,,,,,,,23,,,,,,Primera Division Argentina,2023
Huracán,30,27.0,,,,,,,,,,,,,,,11,,,,,,Primera Division Argentina,2023
Independiente,30,27.0,,,,,,,,,,,,,,,9,,,,,,Primera Division Argentina,2023
Instituto,27,27.0,,,,,,,,,,,,,,,18,,,,,,Primera Division Argentina,2023
Lanús,30,27.0,,,,,,,,,,,,,,,23,,,,,,Primera Division Argentina,2023
