Squad,# Pl,90s,Att,PassTypes_Live,PassTypes_Dead,PassTypes_FK,PassTypes_TB,PassTypes_Sw,PassTypes_Crs,PassTypes_TI,PassTypes_CK,CornerKicks_In,CornerKicks_Out,CornerKicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,League,Season
Aldosivi,29,25.0,,,,,,,405,,,,,,,,,Primera Division Argentina,2021
Arg Juniors,31,25.0,,,,,,,570,,,,,,,,,Primera Division Argentina,2021
Arsenal,35,25.0,,,,,,,484,,,,,,,,,Primera Division Argentina,2021
Atlé Tucumán,29,25.0,,,,,,,500,,,,,,,,,Primera Division Argentina,2021
Banfield,28,25.0,,,,,,,607,,,,,,,,,Primera Division Argentina,2021
Boca Juniors,45,25.0,,,,,,,519,,,,,,,,,Primera Division Argentina,2021
Cen. Córdoba–SdE,29,25.0,,,,,,,490,,,,,,,,,Primera Division Argentina,2021
Colón,23,25.0,,,,,,,406,,,,,,,,,Primera Division Argentina,2021
Defensa y Just,23,25.0,,,,,,,380,,,,,,,,,Primera Division Argentina,2021
Estudiantes–LP,27,25.0,,,,,,,486,,,,,,,,,Primera Division Argentina,2021
Gimnasia–LP,30,25.0,,,,,,,371,,,,,,,,,Primera Division Argentina,2021
Godoy Cruz,29,25.0,,,,,,,498,,,,,,,,,Primera Division Argentina,2021
Huracán,29,25.0,,,,,,,615,,,,,,,,,Primera Division Argentina,2021
Independiente,30,25.0,,,,,,,404,,,,,,,,,Primera Division Argentina,2021
Lanús,27,25.0,,,,,,,552,,,,,,,,,Primera Division Argentina,2021
Newell's OB,36,25.0,,,,,,,440,,,,,,,,,Primera Division Argentina,2021
Patronato,29,25.0,,,,,,,443,,,,,,,,,Primera Division Argentina,2021
Platense,32,25.0,,,,,,,444,,,,,,,,,Primera Division Argentina,2021
Racing Club,29,25.0,,,,,,,523,,,,,,,,,Primera Division Argentina,2021
River Plate,30,25.0,,,,,,,469,,,,,,,,,Primera Division Argentina,2021
Rosario Central,33,25.0,,,,,,,599,,,,,,,,,Primera Division Argentina,2021
San Lorenzo,31,25.0,,,,,,,453,,,,,,,,,Primera Division Argentina,2021
Sarmiento,31,25.0,,,,,,,502,,,,,,,,,Primera Division Argentina,2021
Talleres,25,25.0,,,,,,,404,,,,,,,,,Primera Division Argentina,2021
Unión,27,25.0,,,,,,,552,,,,,,,,,Primera Division Argentina,2021
Vélez Sarsfield,29,25.0,,,,,,,494,,,,,,,,,Primera Division Argentina,2021
Aldosivi,40,27.0,,,,,,,429,,,,,,,,,Primera Division Argentina,2022
Arg Juniors,28,27.0,,,,,,,509,,,,,,,,,Primera Division Argentina,2022
Arsenal,27,27.0,,,,,,,498,,,,,,,,,Primera Division Argentina,2022
Atlé Tucumán,30,27.3,,,,,,,485,,,,,,,,,Primera Division Argentina,2022
Banfield,34,27.0,,,,,,,572,,,,,,,,,Primera Division Argentina,2022
Barracas Central,27,27.0,,,,,,,482,,,,,,,,,Primera Division Argentina,2022
Boca Juniors,36,27.0,,,,,,,491,,,,,,,,,Primera Division Argentina,2022
Cen. Córdoba–SdE,33,27.0,,,,,,,430,,,,,,,,,Primera Division Argentina,2022
Colón,38,27.0,,,,,,,467,,,,,,,,,Primera Division Argentina,2022
Defensa y Just,32,27.0,,,,,,,486,,,,,,,,,Primera Division Argentina,2022
Estudiantes–LP,35,27.0,,,,,,,578,,,,,,,,,Primera Division Argentina,2022
Gimnasia–LP,29,27.0,,,,,,,523,,,,,,,,,Primera Division Argentina,2022
Godoy Cruz,32,27.0,,,,,,,578,,,,,,,,,Primera Division Argentina,2022
Huracán,31,27.0,,,,,,,586,,,,,,,,,Primera Division Argentina,2022
Independiente,32,27.3,,,,,,,550,,,,,,,,,Primera Division Argentina,2022
Lanús,37,27.0,,,,,,,514,,,,,,,,,Primera Division Argentina,2022
Newell's OB,32,27.0,,,,,,,478,,,,,,,,,Primera Division Argentina,2022
Patronato,30,27.0,,,,,,,508,,,,,,,,,Primera Division Argentina,2022
Platense,30,27.0,,,,,,,498,,,,,,,,,Primera Division Argentina,2022
Racing Club,33,27.0,,,,,,,542,,,,,,,,,Primera Division Argentina,2022
River Plate,28,27.0,,,,,,,595,,,,,,,,,Primera Division Argentina,2022
Rosario Central,33,27.0,,,,,,,671,,,,,,,,,Primera Division Argentina,2022
San Lorenzo,31,27.0,,,,,,,510,,,,,,,,,Primera Division Argentina,2022
Sarmiento,26,27.0,,,,,,,449,,,,,,,,,Primera Division Argentina,2022
Talleres,31,27.0,,,,,,,509,,,,,,,,,Primera Division Argentina,2022
Tigre,26,27.0,,,,,,,507,,,,,,,,,Primera Division Argentina,2022
Unión,26,27.0,,,,,,,653,,,,,,,,,Primera Division Argentina,2022
Vélez Sarsfield,33,27.0,,,,,,,544,,,,,,,,,Primera Division Argentina,2022
Arg Juniors,26,27.0,,,,,,,603,,,,,,,,,Primera Division Argentina,2023
Arsenal,27,27.0,,,,,,,486,,,,,,,,,Primera Division Argentina,2023
Atlé Tucumán,26,27.0,,,,,,,424,,,,,,,,,Primera Division Argentina,2023
Banfield,28,27.0,,,,,,,589,,,,,,,,,Primera Division Argentina,2023
Barracas Central,30,27.0,,,,,,,483,,,,,,,,,Primera Division Argentina,2023
Belgrano,32,27.0,,,,,,,585,,,,,,,,,Primera Division Argentina,2023
Boca Juniors,32,27.0,,,,,,,512,,,,,,,,,Primera Division Argentina,2023
Cen. Córdoba–SdE,26,27.0,,,,,,,565,,,,,,,,,Primera Division Argentina,2023
Colón,28,27.0,,,,,,,464,,,,,,,,,Primera Division Argentina,2023
