Squad,# Pl,Poss,90s,Touches_Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec,League,Season
Aldosivi,29,50.0,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Arg Juniors,31,59.4,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Arsenal,35,44.3,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Atlé Tucumán,29,47.5,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Banfield,28,51.8,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Boca Juniors,45,58.9,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Cen. Córdoba–SdE,29,43.4,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Colón,23,50.4,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Defensa y Just,23,50.6,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Estudiantes–LP,27,45.2,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Gimnasia–LP,30,44.7,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Godoy Cruz,29,52.4,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Huracán,29,47.6,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Independiente,30,53.8,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Lanús,27,48.4,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Newell's OB,36,49.2,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Patronato,29,41.5,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Platense,32,39.6,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Racing Club,29,56.0,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
River Plate,30,62.0,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
Rosario Central,33,51.8,25.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2021
