id,teamId,team_name,rank,type,stat_name,value,sub_value,League,Season
213534,213534,Barracas Central,1,teams,expected_goals_conceded_team,22.0,18,Argentina Copa de la Liga,2024
161729,161729,Independiente Rivadavia,2,teams,expected_goals_conceded_team,21.7,25,Argentina Copa de la Liga,2024
213596,213596,Central Cordoba de Santiago,3,teams,expected_goals_conceded_team,21.6,20,Argentina Copa de la Liga,2024
10103,10103,Gimnasia LP,4,teams,expected_goals_conceded_team,21.1,23,Argentina Copa de la Liga,2024
89396,89396,Tigre,5,teams,expected_goals_conceded_team,20.6,25,Argentina Copa de la Liga,2024
298629,298629,Deportivo Riestra,6,teams,expected_goals_conceded_team,20.2,16,Argentina Copa de la Liga,2024
10084,10084,Rosario Central,7,teams,expected_goals_conceded_team,18.6,18,Argentina Copa de la Liga,2024
161730,161730,Defensa y Justicia,8,teams,expected_goals_conceded_team,18.6,14,Argentina Copa de la Liga,2024
161727,161727,Atletico Tucuman,9,teams,expected_goals_conceded_team,18.5,23,Argentina Copa de la Liga,2024
10086,10086,Argentinos Juniors,10,teams,expected_goals_conceded_team,18.3,15,Argentina Copa de la Liga,2024
10092,10092,Belgrano,11,teams,expected_goals_conceded_team,18.1,21,Argentina Copa de la Liga,2024
10081,10081,Huracan,12,teams,expected_goals_conceded_team,17.7,12,Argentina Copa de la Liga,2024
202757,202757,Sarmiento,13,teams,expected_goals_conceded_team,16.8,19,Argentina Copa de la Liga,2024
10087,10087,Banfield,14,teams,expected_goals_conceded_team,16.0,15,Argentina Copa de la Liga,2024
10101,10101,Talleres,15,teams,expected_goals_conceded_team,15.0,16,Argentina Copa de la Liga,2024
10089,10089,Club Atletico Platense,16,teams,expected_goals_conceded_team,15.0,14,Argentina Copa de la Liga,2024
10096,10096,Union,17,teams,expected_goals_conceded_team,14.8,14,Argentina Copa de la Liga,2024
10201,10201,Newell's Old Boys,18,teams,expected_goals_conceded_team,14.6,15,Argentina Copa de la Liga,2024
10076,10076,River Plate,19,teams,expected_goals_conceded_team,14.6,13,Argentina Copa de la Liga,2024
10077,10077,Boca Juniors,20,teams,expected_goals_conceded_team,14.2,15,Argentina Copa de la Liga,2024
10227,10227,Godoy Cruz,21,teams,expected_goals_conceded_team,13.5,8,Argentina Copa de la Liga,2024
10079,10079,Velez Sarsfield,22,teams,expected_goals_conceded_team,13.2,15,Argentina Copa de la Liga,2024
10080,10080,Racing Club,23,teams,expected_goals_conceded_team,13.0,11,Argentina Copa de la Liga,2024
10090,10090,Instituto,24,teams,expected_goals_conceded_team,12.6,17,Argentina Copa de la Liga,2024
10094,10094,Estudiantes,25,teams,expected_goals_conceded_team,12.3,11,Argentina Copa de la Liga,2024
