Squad,id,last_season
Aldosivi,161728,2022
Arg Juniors,10086,2024
Arsenal,10098,2023
Atlé Tucumán,161727,2024
Banfield,10087,2024
Boca Juniors,10077,2024
Cen. Córdoba–SdE,213596,2024
Colón,10088,2023
Defensa y Just,161730,2024
Estudiantes–LP,10094,2024
Gimnasia–LP,10103,2024
Godoy Cruz,10227,2024
Huracán,10081,2024
Independiente,10078,2024
Lanús,10082,2024
Newell's OB,10201,2024
Patronato,207875,2022
Platense,10089,2024
Racing Club,10080,2024
River Plate,10076,2024
Rosario Central,10084,2024
San Lorenzo,10083,2024
Sarmiento,202757,2024
Talleres,10101,2024
Unión,10096,2024
Vélez Sarsfield,10079,2024
Barracas Central,213534,2024
Tigre,89396,2024
Belgrano,10092,2024
Instituto,10090,2024
Deportivo Riestra,298629,2024
Ind. Rivadavia,161729,2024
